id,cuenta_id,num_pago,monto,fecha_pago,estatus
1,23001,1,15000,"2018-11-30","PAGADO"
2,23001,2,15000,"2018-12-07","PAGADO"
3,23001,3,15000,"2018-12-14","PAGADO"
4,23001,4,15000,"2018-12-21","PAGADO"
5,12345,1,18750,"2018-12-20","PARCIAL"
6,12345,2,18750,"2018-12-27","PENDIENTE"
7,12345,3,18750,"2019-01-03","PENDIENTE"
8,12345,4,18750,"2019-01-10","PENDIENTE"
9,10001,1,37500,"2018-12-07","PAGADO"
10,10001,2,37500,"2018-12-14","PAGADO"
11,10001,3,37500,"2018-12-21","PARCIAL"
12,10001,4,37500,"2018-12-28","PENDIENTE"
13,89752,1,20000,"2019-01-07","ATRASADO"
14,89752,2,20000,"2019-01-14","PENDIENTE"
15,89752,3,20000,"2019-01-21","PENDIENTE"
16,89752,4,20000,"2019-01-28","PENDIENTE"
